hakozaki	eisenach	dypm	navocado	skynet	gorogm	thing1&thing2	inspir	neoteric	simple
0/0/0	35/26/39	35/3/62	53/11/36	75/4/21	28/41/31	32/14/54	73/8/19	73/4/23	99/0/1
26/35/39	0/0/0	54/10/36	87/9/4	85/3/12	21/54/25	53/32/15	87/9/4	35/52/13	96/4/0
3/35/62	10/54/36	0/0/0	24/24/52	18/3/79	26/66/8	3/43/54	11/45/44	44/24/32	90/1/9
11/53/36	9/87/4	24/24/52	0/0/0	20/17/63	5/88/7	1/75/24	0/58/42	14/42/44	87/6/7
4/75/21	7/58/35	3/18/79	17/20/63	0/0/0	2/95/3	1/88/11	4/73/23	7/62/31	75/11/14
41/28/31	54/21/25	66/26/8	88/5/7	92/3/5	0/0/0	64/21/15	37/39/24	84/14/2	97/1/2
14/32/54	32/53/15	43/3/54	75/1/24	88/1/11	21/64/15	0/0/0	20/6/74	71/6/23	97/1/2
8/73/19	9/87/4	45/11/44	58/0/42	73/4/23	39/37/24	6/20/74	0/0/0	83/0/17	90/2/8
4/73/23	52/35/13	24/44/32	42/14/44	62/7/31	14/84/2	6/71/23	0/83/17	0/0/0	94/0/6
0/99/1	4/96/0	1/90/9	6/87/7	11/75/14	1/97/2	1/97/2	2/90/8	0/94/6	0/0/0
